Cluster,Modelo,MAE,MSE,RMSE,R²
0,Regressão Linear,4278.497153539284,36764858.38978697,6063.403201980466,0.6372789730475702
0,KNN Regressor,3540.223286792307,31614443.664000686,5622.6722885119925,0.6880928154065301
0,Decision Tree Regressor,4277.416820838462,65063090.130115755,8066.169483101366,0.3580894391463253
1,Regressão Linear,4070.041396108181,41227722.39897265,6420.88174622245,0.7581142323019736
1,KNN Regressor,3464.887759230769,31086993.212708276,5575.571110900503,0.8176105595669128
1,Decision Tree Regressor,3104.9925572307693,42342184.33374192,6507.087238829822,0.7515756105936686
2,Regressão Linear,3286.583314855536,21061333.280668966,4589.262825407689,0.8612280254864791
2,KNN Regressor,2627.7214558356163,11174565.124326633,3342.837884840758,0.9263714008050928
2,Decision Tree Regressor,3080.993565753425,36259245.618284725,6021.565047251813,0.7610898112780694
